block_number,tx_hash,log_index,user,amount_raw,amount_tokens
40861589,0x00272180d1136f747b28b1ffb930561064532389d3f6bdd80cc965caa01ddaad,1557,0xc01e9a41004bfe0611d79ff6ccf554bbbb3b044e,4849295,4.849295
40868322,0x04d311a5c8038d7c8597466c9f4451f97fbdc5dd88c8dffddf307d5d4aebaa69,1369,0xbc64a3a9f0c40b3bdced192b6f342f9b913b7b06,140962,0.140962
40871942,0x1e94bf9927e9a7cf95966c05e4a85cb033c674b09dc7ab89b3818625024d070c,769,0xaaafeb4c3973d9bb2b354ca3298e19f840f4f3cf,0,0.0
40872525,0x0a3ebab6ffa3dab158a534b538e77e5c42b488f21fba172c5a783a5c32cf0a4c,730,0xbf092cec658a3137e76228b14492f80d70f121d7,552115,0.552115
40872602,0x9f5c4e3b291f6a7d565f89860395d084f63409beae5c02fa065f3c39d929ac35,739,0x7f0e6e08c44e7341840fbd70b703aefc1e101856,1374404,1.374404
40872646,0x082139d044c82e954842190244a4c8fec37886164b4a40a1d0222fc15ba8c97e,845,0x49df3c6bed54bc73376c7c4a54e311a7bd36ac54,110649,0.110649
40872715,0xdca2150e224c0214da60fa1e8f9234b119faf012a6a5b27605c38fb9d527e42c,775,0x234db7f4cdb2f84784dc0a2ac4eb30a396b07671,500000,0.5
40873644,0x8b1edd5e5861c01125801d1e22151f31a12a5b84ba9e7c913dd9f9fc0acab11e,527,0x43830138aca491493de391411c7dea85dc75729f,137729,0.137729
40873715,0x9a1b700148b299eebfe22555de4c817d9df8bb5969959b3bc5590caeed1097f5,1225,0x88b2ead6336ffef914762a66e3f329f9af4a0335,124696,0.124696
40873768,0xbc689b0ef10620b6d394939e3fa64a32347abbe9bd561cff5424e1463bf3db22,449,0x8d7c258036d905014891d1b798ccddbb8c107a33,277478,0.277478
40873880,0xa009d714fb9a5832b4092679bafb37d34cde104ba316bd3cb1cb667093113b71,477,0x174a0e210f3061e98fc22e6a4fba9b2751dc10ab,557530,0.55753
40873928,0x208ae7dce5cc2c63c5d69f346c4c5d615f72c5ac4b0cb783abdfd0e060f7d061,1346,0x482be3b82e8211e57f68aadd7d442a1d4c5356f0,138620,0.13862
40873958,0x2f73f41977fdeca5434e2c2a66428766ba9528b74d9d131297421523d800b6cd,987,0x8a3c72135f77bb21912022597bc407db00817ff1,1736823,1.736823
40874049,0xc4e06cce2ba6729acb34741b035e2eedf3be92872f37e8992940491878b63a5f,524,0x7d5e897f0a3d1e847d11b57f021499e0bd531f1c,260197,0.260197
40874103,0x352af8d0679b2248c7b02e7c8ca149c72ea5c277af92132da140a7b361489ca8,496,0xe6c560f4fec8e4709247d77b1ed3672f8ed75403,548219,0.548219
40874144,0xb66a9bd941bb2deb85210697b930ee9f39a3a94275470cdec917bcfd097ab501,528,0x6fbbcf7cc190434ba1438f478b44eebddcab9c94,1095697,1.095697
40878185,0xdb87e9205712b263b8320ae2c6bfa9a1fce67597047b1b90ad19f921e91fa976,160,0x8ff43bfd449ad3f508f4a4b98d24c99b8cb5ff9d,7930,0.00793
40879296,0xaa2f9a87816d461cb70b8c750e5cbca246ee158aac21990f0600ae990489a3f6,1074,0x30fac181923bb093e0242e4a6572aae7879ca8a3,385140,0.38514
40879301,0xc2026888aa9fc6a1e2664bf8ec95219800bfa26b2e24d62ecfc39692b7ca2c42,964,0x30fac181923bb093e0242e4a6572aae7879ca8a3,0,0.0
40880478,0xa9483f4d58917310be52034d725ae8e37929acf62b7d87e1677c7f8ecd6ad064,790,0x3e59d5b2a7e9e17c5f1550eaf161a4866fb4395b,250451,0.250451
